date,t_hs,t_hs_set,water_pressure,t_dhw,t_dhw_set,t_return,flow_rate,status_pump,runtime_comp,runtime_pump,posmix,qboh,qchhp,qsc,qch,qwp,qdhw,tvbh2,tliq2,tr2,ta2,tdhw2,mode,pump,ehs,bpv,t_v1,t_dhw1,t_vbh,t_outdoor_ot1,t_r1,v1,heat_slope,t_dhw_setpoint1,t_dhw_setpoint2,t_dhw_setpoint3,hyst_hp,t_ext,t_hc_set,t_hc,duration
2023-01-02 16:24:27.589915,30.7,0.0,1.243,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.4,15.5,22.5,40.0,47.7,0,0,0,100,30.7,47.7,32.5,10.4,22.5,0,0.3,48.0,48.0,48.0,7.0,10.4,42.0,32.5,0:00:10.217891
2023-01-02 16:25:08.461777,30.7,0.0,1.252,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.0,15.5,22.5,40.0,47.7,0,0,0,100,30.7,47.7,31.9,10.3,22.5,0,0.3,48.0,48.0,48.0,7.0,10.3,42.0,32.0,0:00:10.839208
2023-01-02 16:25:48.341990,30.7,0.0,1.247,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.9,15.5,22.5,40.0,47.7,0,0,0,100,30.7,47.7,31.8,10.4,22.5,0,0.3,48.0,48.0,48.0,7.0,10.4,42.0,31.8,0:00:09.850460
2023-01-02 16:26:28.110450,30.7,0.0,1.245,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.6,15.5,22.5,40.0,47.7,0,0,0,100,30.7,47.7,31.6,10.4,22.5,0,0.3,48.0,48.0,48.0,7.0,10.4,42.0,31.5,0:00:09.737192
2023-01-02 16:27:08.150722,30.7,0.0,1.246,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.0,15.5,22.5,40.0,47.7,0,0,0,100,30.7,47.7,32.0,10.4,23.0,0,0.3,48.0,48.0,48.0,7.0,10.4,42.0,32.1,0:00:10.011993
2023-01-02 16:27:47.903105,30.7,0.0,1.247,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.0,15.5,23.0,40.0,47.7,0,0,0,100,30.7,47.7,32.3,10.4,23.0,0,0.3,48.0,48.0,48.0,7.0,10.4,42.0,32.4,0:00:09.720764
2023-01-02 16:28:27.735558,30.8,0.0,1.247,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.9,15.5,23.0,40.0,47.7,0,0,0,100,30.7,47.7,31.8,10.4,23.0,0,0.3,48.0,48.0,48.0,7.0,10.4,42.0,31.8,0:00:09.802039
2023-01-02 16:29:07.471719,30.7,0.0,1.246,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.8,15.5,23.0,40.0,47.7,0,0,0,100,30.7,47.7,31.8,10.4,23.0,0,0.3,48.0,48.0,48.0,7.0,10.4,42.0,31.8,0:00:09.717576
2023-01-02 16:29:47.224373,30.8,0.0,1.245,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.4,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.7,32.4,10.4,23.0,0,0.3,48.0,48.0,48.0,7.0,10.4,42.0,32.3,0:00:09.730956
2023-01-02 16:30:27.040731,30.8,0.0,1.245,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.7,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.7,31.7,10.4,23.0,0,0.3,48.0,48.0,48.0,7.0,10.4,42.0,31.8,0:00:09.785942
2023-01-02 16:31:06.809184,30.8,0.0,1.245,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.8,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.7,31.9,10.4,23.0,0,0.3,48.0,48.0,48.0,7.0,10.4,42.0,32.0,0:00:09.738026
2023-01-02 16:31:46.593511,30.8,0.0,1.247,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.0,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.7,32.0,10.4,23.0,0,0.3,48.0,48.0,48.0,7.0,10.4,42.0,31.9,0:00:09.753967
2023-01-02 16:32:26.185692,30.8,0.0,1.246,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.0,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.7,32.0,10.4,23.0,0,0.3,48.0,48.0,48.0,7.0,10.4,42.0,32.0,0:00:09.583470
2023-01-02 16:33:05.761822,30.8,0.0,1.246,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.9,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.7,31.8,10.4,23.0,0,0.3,48.0,48.0,48.0,7.0,10.4,42.0,31.8,0:00:09.575240
